,,,,,,,,
County ,Total,Under 15 Years,15 to 19 Years ,20 to 24 Years ,25 to 29 Years ,30 to 34 Years ,35 to 39 Years ,40+ Years 
Karnes,10,1,1,4,3,1,0,0
Kaufman,246,2,22,75,60,56,23,8
Kendall,29,0,2,5,5,9,5,3
Kenedy,0,0,0,0,0,0,0,0
Kent,0,0,0,0,0,0,0,0
Kerr,51,0,9,12,15,10,5,0
Kimble,5,0,1,0,2,2,0,0
King,0,0,0,0,0,0,0,0
Kinney,2,0,1,0,0,0,0,1
Kleberg,49,0,8,12,18,7,2,2
Knox,2,0,1,0,0,0,1,0
La Salle,10,0,1,0,3,5,0,1
Lamar,36,0,6,12,9,8,1,0
Lamb,3,0,0,1,0,1,1,0
Lampasas,14,0,1,8,5,0,0,0
Lavaca,9,0,3,1,2,3,0,0
Lee,22,0,1,3,14,1,3,0
Leon,10,0,0,4,3,1,2,0
Liberty,117,1,13,45,32,15,9,2
Limestone,23,0,0,11,10,1,0,1
Lipscomb,0,0,0,0,0,0,0,0
Live Oak,11,0,3,4,1,0,3,0
Llano,17,0,1,4,5,3,2,2
Loving,1,0,0,0,0,1,0,0
Lubbock,174,1,22,69,34,29,16,3
Lynn,1,0,0,1,0,0,0,0
Madison,15,0,2,5,4,2,1,1
Marion,8,0,0,1,4,3,0,0
Martin,4,0,0,2,1,1,0,0
Mason,4,0,0,3,0,0,1,0
Matagorda,46,0,3,15,17,7,2,2
Maverick,60,0,7,12,24,13,4,0
McCulloch,5,0,0,2,2,1,0,0
McLennan,313,1,41,109,88,46,21,7
McMullen,0,0,0,0,0,0,0,0
Medina,48,0,9,10,13,8,6,2
Menard,3,0,0,1,0,0,1,1
Midland,149,0,7,47,43,29,18,5
Milam,23,0,3,8,5,4,1,2
Mills,1,0,0,0,1,0,0,0
Mitchell,5,0,0,1,1,2,1,0
Montague,17,0,1,4,4,5,3,0
Montgomery,759,2,74,205,220,133,99,26
Moore,5,0,0,3,0,2,0,0
Morris,12,0,4,2,1,1,3,1
Motley,0,0,0,0,0,0,0,0
Nacogdoches,78,0,7,47,10,7,4,3
Navarro,60,0,7,20,22,6,4,1
Newton,12,0,2,2,5,1,2,0
Nolan,4,0,0,3,0,1,0,0
Nueces,575,0,51,174,168,106,55,21
Ochiltree,2,0,1,1,0,0,0,0
Oldham,0,0,0,0,0,0,0,0
Orange,106,0,12,31,35,16,9,3
Palo Pinto,16,0,1,6,2,3,2,2
Panola,14,0,1,3,5,2,2,1
Parker,95,0,8,24,26,16,15,6
Parmer,0,0,0,0,0,0,0,0
Pecos,10,0,2,2,3,1,2,0
Polk,40,0,3,20,10,3,4,0
Potter,21,1,2,4,7,4,2,1
Presidio,4,0,0,1,2,1,0,0
Rains,7,0,2,1,3,1,0,0
Randall,11,0,1,5,3,1,1,0
Reagan,3,0,1,1,0,0,1,0
Real,4,0,0,1,1,1,1,0
Red River,9,0,1,1,3,1,2,1
Reeves,4,0,0,2,2,0,0,0
Refugio,5,0,0,1,0,3,0,1
Roberts,0,0,0,0,0,0,0,0
Robertson,17,0,1,3,7,5,1,0
Rockwall,118,1,13,27,30,22,15,10
Runnels,5,1,1,1,0,2,0,0
Rusk,33,0,7,11,5,7,3,0
Sabine,9,0,3,2,3,1,0,0
San Augustine,8,0,1,0,2,3,2,0
San Jacinto,22,0,4,7,6,4,1,0
San Patricio,75,1,6,19,25,13,7,4
San Saba,2,1,0,0,1,0,0,0
Schleicher,0,0,0,0,0,0,0,0
Scurry,10,0,0,1,4,2,3,0
Shackelford,4,0,1,2,0,1,0,0
Shelby,28,0,4,9,5,7,1,2
Sherman,1,0,1,0,0,0,0,0
Smith,305,0,34,98,89,39,34,11
Somervell,7,0,0,3,0,1,3,0
Starr,54,1,7,13,16,6,8,3
Stephens,2,0,0,0,1,1,0,0
Sterling,1,0,0,1,0,0,0,0
Stonewall,1,0,0,0,0,1,0,0
Sutton,3,0,0,2,0,0,1,0
Swisher,1,0,0,1,0,0,0,0
Tarrant,"4,222",9,355,"1,316","1,204",791,420,127
Taylor,133,1,16,45,38,16,14,3
Terrell,5,0,0,2,1,1,1,0
Terry,0,0,0,0,0,0,0,0
Throckmorton,0,0,0,0,0,0,0,0
Titus,28,0,3,12,5,4,3,1
Tom Green,88,0,17,29,26,12,4,0
Travis,"3,340",5,216,940,"1,022",661,370,126
Trinity,8,0,1,2,2,2,0,1
Tyler,23,0,2,10,4,5,1,1
Upshur,14,0,4,7,2,0,1,0
Upton,3,0,0,0,0,0,2,1
Uvalde,37,0,5,8,11,7,5,1
Val Verde,64,0,4,24,15,17,2,2
Van Zandt,49,0,11,13,11,10,4,0
Victoria,116,1,12,39,25,26,9,4
Walker,103,0,11,53,18,14,7,0
Waller,90,0,14,33,19,17,5,2
Ward,2,0,0,1,1,0,0,0
Washington,42,0,5,11,15,6,3,2
Webb,296,0,39,89,85,50,25,8
Wharton,64,0,4,19,19,16,4,2
Wheeler,1,0,0,1,0,0,0,0
Wichita,100,1,7,35,32,16,8,1
Wilbarger,6,0,2,1,2,0,1,0
Willacy,18,0,2,3,5,5,0,3
Williamson,834,3,56,198,235,185,121,36
Wilson,60,0,4,23,18,9,5,1
Winkler,1,0,0,0,1,0,0,0
Wise,46,0,10,7,11,10,7,1
Wood,23,0,2,9,7,2,3,0
Yoakum,14,0,1,6,1,5,1,0
Young,8,0,3,2,3,0,0,0
Zapata,15,0,3,1,3,5,1,2
Zavala,17,1,1,3,4,4,3,1
Not Stated,1,0,1,0,0,0,0,0
Unknown Texas County,39,0,4,11,14,5,4,1
,,,,,,,,
